rubro,codigo,descripcion
aderezos,3608,sabor en polvo alicante panceta y hierbas
aderezos,3629,sabor en polvo alicante albahaca y ajo
aderezos,3639,sabor en polvo alicante finas hierbas
aderezos,6315,budin arcor
aderezos,7791433,Ketchup Hellmanns x 250
aderezos,7791434,Mayonesa Hellmanns x 237g
aderezos,7791435,Mayonesa Hellmanns Light x 250
aderezos,7791436,Savora Original x 250 g
aderezos,7791676,Minerva 250 ml
aderezos,7893590,Mayonesa Natura 250cm
aderezos,7893636,Salsa Golf Natura 250g
aderezos,7893728,Natura mayonesa 125 cm3
aderezos,7893802,Savora por 60g
aderezos,7893880,Mayonesa Hellmanns
aderezos,7894052,Savora original250g
aderezos,7894054,Hellmans Vegana 250g
aderezos,7894064,Ketchup Hellmanns 500g
aderezos,7894073,Mayonesa Hellmanns 118g
aderezos,7894104,Mayonesa Danica 250ml
aderezos,7894105,Ketchup Hellmans 60g
aderezos,7894130,Mayonesa BC oliva 250 cm3
aderezos,7894261,Salsa golf 125g
aderezos,7894303,Mayonesa DFiesta 250g
aderezos,7894511,Coco rallado Alicante  50g
aderezos,7894555,Caldo para saborizar verduras
aderezos,7894557,Condimento para arroz alicante
aderezos,7894901,Fritolim Cocinero manteca
aderezos,7894902,Fritolim Cocinero clasico
aderezos,7894903,Fritolim Cocinero oliva
aderezos,7895114,Mayonesa Hellmans 500cm3
aderezos,7895201,ketchup fiesta 220g
aderezos,7895329,Ketchup Natura 250g
aderezos,7895331,Savora Suave 250g
aderezos,9540495,Mostaza Danica 220g
aderezos,9540526,Salsa golf Fanacoa 250g
aderezos,9540618,Mayonesa BC 125g
aderezos,9540668,Mayonesa Natura 500cm
aderezos,9540678,DANICA salsa barbacoa 220g
aderezos,9540724,Salsa Aji picante Vanoli 350g
aderezos,9540725,Chimichurri picante vanoli 190g
aderezos,9540842,dos ancas chimichurri 380gr
aderezos,9540843,tau mayonesa con ajo 300g
aderezos,9540872,mayonesa fiesta 95g
aderezos,9540914,Danica ketchup 220g
aderezos,9540917,mayonesa BC 250cm
aderezos,9541051,Danica salsa golf 220ml
agua mineral,3692,agua nestle 1.500cc
agua mineral,6143,villavicencio con gas 500cc
agua mineral,6311,agua sierra de los padres 2L
agua mineral,6437,Cellier Agua Gasificada 600cc
agua mineral,6501,agua bajo en sodio
agua mineral,6502,magistral 600
agua mineral,6598,LEVITE CERO MANZANA 500CC
agua mineral,7791334,agua mineral ser
agua mineral,7791485,soda social tapa rosca x 2.25lts
agua mineral,7894422,Agua mineral glaciar 1.5lts
agua mineral,7894466,Agua mineral nestlé 500 ml
agua mineral,7894758,soda social SIFON descartable
agua mineral,7894789,Agua Ser 2.25 L
agua mineral,7894950,eco de los andes 1.5 lts
agua mineral,7894953,Agua mineral de las misiones 1.5 lts
agua mineral,7894969,Agua Glaciar con gas 1500 cc
agua mineral,7895214,agua nestle 1.5
agua mineral,7898288,Villavicencio con gas limon
agua mineral,7898301,Agua mineral Block 500 ml
agua mineral,7898307,Soda Trechel sifon 2 L
agua mineral,9540451,Agua sierra de los padres 600ml
agua mineral,9540522,Eco de los Andes 1.5l
agua mineral,9540601,agua sin gas manaos 500ml
agua mineral,9540754,"agua social  2,25"
agua mineral,9540777,"sierra de los padres agua tonica 1,5L"
agua mineral,9540797,Agua trechel 5L
agua mineral,9540810,Eco de los andes 500 c gas
agua mineral,9540812,Agua mineral Nesle Pureza Vital 2.5 L
agua mineral,9540820,Sierra de los padres agua 1.5 lts
agua mineral,9540823,Agua Nihuil 600 ml
agua mineral,9540828,agua nuestra minerizada 500ml
agua mineral,9540862,agua nuestra bajo sodio 1.5L
agua mineral,9540881,Soda Social 1.5 lts
agua mineral,9540885,bidon de agua cristal  6Lts
agua mineral,9540920,Eco de los Andes sin gas 850ml
agua mineral,9541191,choco nobel fel fort 35gr
agua mineral,9541327,agua con gas benedictino 500
agua mineral,9541367,agua benedictino con gas 1.5
aguas saborizadas,39,aquarius levemente gasificada citrus 2.25 lts
aguas saborizadas,63,aquarius citrus 500 cc
aguas saborizadas,859,villa del sur flips naranja
aguas saborizadas,860,villa del sur flip manzana
aguas saborizadas,3546,Baggio Fresh mix frutal 1.5L
aguas saborizadas,6141,livra grande limonada
aguas saborizadas,6157,levite limonada + frutilla 600cc
aguas saborizadas,6597,de todito recargado 130 grs
aguas saborizadas,6689,awafrut pomelo 2.25L
aguas saborizadas,6762,Levite limonada 500cc
aguas saborizadas,6763,Levite Mandarina 600cc
aguas saborizadas,6784,agua saborizada ser sabor manzana por 1.5 lts
aguas saborizadas,6785,agua saborisada ser sabor pomelo x 1.5 lts
aguas saborizadas,6805,Levite Pera 600cc
aguas saborizadas,6806,Levite Anana 600cc
aguas saborizadas,6807,Levite Pomelo 600cc
aguas saborizadas,7791506,aquarius manzana x 2.25lts
aguas saborizadas,7893418,Levite Pomelo Rosado 600cc
aguas saborizadas,7893604,Levite Naranja Dulce 600cc
aguas saborizadas,7893605,Levite frutos tropicales 600ml
aguas saborizadas,7893951,Aquarius pera  delight 1.5lt
aguas saborizadas,7893953,Aquarius naranja delight 500cc
aguas saborizadas,7893954,Aquarius pera delight 500cc
aguas saborizadas,7894001,Levite Naranja Cero 600cm
aguas saborizadas,7894159,Levite mango-naranja 600 ml
aguas saborizadas,7894160,Levite frutilla-limon 600 ml
aguas saborizadas,7894169,Aquarius multifruta 500 ml
aguas saborizadas,7894194,levite limonada cero x 600 cc
aguas saborizadas,7894213,Levite cero pomelo 600 ml
aguas saborizadas,7894242,aquarius levemente gasificada sabor citrus 310 cc
aguas saborizadas,7894247,Awafrut naranja - durazno 1.5ltr
aguas saborizadas,7894248,Awafrut pomelo 1.5 lt
aguas saborizadas,7894263,Lata aquarius pomelo amarillo
aguas saborizadas,7894264,Lata aquarius multifrutas
aguas saborizadas,7894265,Lata aquarius pera
aguas saborizadas,7894383,we ser frutada 500ml
aguas saborizadas,7894529,Cepita manzana 300ml
aguas saborizadas,7894685,levite cero kiwi 600 cc
aguas saborizadas,7894686,levite cero frutos tropicales 600 cc
aguas saborizadas,7894760,Levite Limonada con menta 600
aguas saborizadas,7894761,Levite Limonada 600cc
aguas saborizadas,7894764,levite citrus 575 cc
aguas saborizadas,7894783,levite limonada clasica 1500cc
aguas saborizadas,7894829,we lemon ice 575cc
aguas saborizadas,7894944,levite mandarina + limon 600cc
aguas saborizadas,7895219,Terma Limon 1.35L
aguas saborizadas,7898286,Baggio fresh liviano naranja dulce
aguas saborizadas,7898287,Baggio fresh liviano pomelo
aguas saborizadas,9540395,Vida Pomelo Agua Saborizada 1.5L
aguas saborizadas,9540396,Vida Naranja Dulce Agua Saborizada 1.5L
aguas saborizadas,9540397,Vida Pera Agua Saborizada 1.5L
aguas saborizadas,9540398,Vida Mix Frutal Agua Saborizada 1.5L
aguas saborizadas,9540426,Levite Limon Zero 500ml
aguas saborizadas,9540733,baggio fresh 1.5l manzana
aguas saborizadas,9540734,Baggio fresh pera 1.5l
aguas saborizadas,9540736,Baggio fresh naranja dulce 600ml
aguas saborizadas,9540788,Baggio Fresh mix natural
aguas saborizadas,9540821,Sierra de los padres pomelo blanco 1.5 lts
aguas saborizadas,9540822,Sierra de los padres naranja 1.5 lts
aguas saborizadas,9540825,Baggio fresh liviana LIMONE
aguas saborizadas,9540895,agua tonica magna 1.5l
aguas saborizadas,9540896,agua tonica magna 2.25l
aguas saborizadas,9541355,H2O SIN GAS LIMON 1.5
aguas saborizadas,9541356,H2O SIN GAS MANZANA 1.5
aguas saborizadas,9541357,H2O SIN GAS POMELADA 500
aguas saborizadas,9541358,H2O SIN GAS MANZANA 500
aguas saborizadas,9541442,awafrut manzana 1.5L
alfajores,69,Tatin Triple Negro
alfajores,70,Alfajor Tatin Triple Blanco
alfajores,72,sin culpa mousse de chocolate
alfajores,76,Alfajor bon o bon x 3
alfajores,77,Alfajor bon o bon simple blanco 40g
alfajores,78,Alfajor bon o bon simple negro x 40g
alfajores,79,Alfajor tofi triple negro
alfajores,80,Alfajor Tofi Triple Blanco
alfajores,81,Alfajor Blanco y Negro Bagley blanco x50g
alfajores,82,Alfajor bagley Blanco y Negro Negro x 73g
alfajores,83,Alfajor aguila minitorta brownie
alfajores,84,Alfajor Aguila Minitorta Clasica
alfajores,85,Alfajor Block x 60 g
alfajores,87,Alfajor Pepitos x 3
alfajores,88,alfajor Trii Shot
alfajores,89,Alfajor Milka Dulce de Leche
alfajores,90,Alfajor Terrabusi Dulce de Leche x3
alfajores,91,Alfajor Terrabusi Torta x3
alfajores,92,Alfajor Terrabusi Simple Blanco
alfajores,93,Alfajor Terrabusi Simple Negro
alfajores,94,Milka Mousse Blanco x3
alfajores,95,MILKA MOOSE X3.
alfajores,96,alfajor oreo trilogia
alfajores,97,Guaymallen Blanco
alfajores,98,Guaymallen Negro
alfajores,99,Alfajor Fantoche Triple Chocolate
alfajores,100,Alfajor Fantoche Triple Blanco
alfajores,101,Alfajores Agrupados Jorgito Relleno Mousse (lila)
alfajores,105,COMBOS BEBIDAS 2019
alfajores,106,ENSALADA DE FRUTA
alfajores,122,Alfajores jorgito blancos
alfajores,123,Alfajores Agrupados Jorgito Negro
alfajores,124,alfajor jorgito de fruta
alfajores,223,Alfajores Jorgito Agrupados Blanco
alfajores,252,Lule muu alfajor de arroz
alfajores,893,tostadas con sal alimentos naturales
alfajores,997,alfajor sin culpa maicena 70g
alfajores,1011,LIMU  limon  15g
alfajores,1526,alfajor cofler mousse negro 40g
alfajores,1527,alfores cofler blancos
alfajores,1528,alfajor la recoleta
alfajores,1541,alfajor coco choco NONNA 60g
alfajores,1551,alfajor jorgito blanco 50g
alfajores,1552,alfajor jorgito negro 50g
alfajores,1554,alfajor trple bariloche
alfajores,1602,Chocoarroz Dulce leche
alfajores,1605,ñlkjhkñlh
alfajores,1615,alfajor arroz cachafaz
alfajores,1630,alfajor deubel
alfajores,1663,Alfajor Sin Culpa Naranja 35g
alfajores,3557,Alfajor sin culpa limon
alfajores,3562,chocoarroz frutilla
alfajores,3567,Alfajor minitorta aguila coco
alfajores,3568,Alfajor Minitorta Chocolate Blanco Aguila
alfajores,3588,alfajores santafesinos 12unidades
alfajores,3622,alfarros
alfajores,3636,alfajor cachafaz blanco
alfajores,3694,alfajor tita
alfajores,3695,bombo mini torta
alfajores,3719,chocoarroz dulce de leche
alfajores,6039,Alfajor Sin Culpa Blanco
alfajores,6101,Vauquita Capuccino  (via dulce)
alfajores,6169,Alfajor B&N triple blanco  BAGLEY
alfajores,6215,Alfajor B&N TRIPLE Negro BAGLEY
alfajores,6454,alfajor maizena artesanal
alfajores,6478,Alfajor Suchard Mousse
alfajores,6601,alfajor agrupados la recoleta
alfajores,6667,Choco arroz marroc
alfajores,6668,Choco arroz limon
alfajores,6669,Choco arroz blanco dulce de leche
alfajores,6672,Alfajor Artesanal Maicena
alfajores,6673,.
alfajores,6712,Alfajor Ser Dulce de Leche 47g
alfajores,7791324,alfajorcitos maicenitos x 6
alfajores,7791358,Alfajor terrabusi Brownie
alfajores,7791424,PROMO GUAYMALLEN + JUGO BAGGIO 125ML
alfajores,7791484,Alfajor Santafesino 70g
